QUEST_LV_0200_20150317_000001	Солдат Филиппа	필리파스 직속 부대원
QUEST_LV_0200_20150317_000382	Можешь использовать это на Горгульи, пока я пакую?{nl}Я уверен, что вам будет достаточно легко.	내가 짐을 꾸리는 동안 가고일에게 그걸 사용해서 처치해주겠어?{nl}아마 너 혼자라면 쉽게 처리할 수 있을거야.도굴꾼 아만다
QUEST_LV_0200_20150317_000383	Есть монокль, который помогает вам идентифицировать драгоценности, и он поможет нам легко найти комнату с сокровищами.	값나가는 물건들을 알아볼 수 있게 도와주는 모노클이 있는 데 그거만 있으면 그 보물의 방도 쉽게 찾을 수 있을거야.도굴꾼 아만다
QUEST_LV_0200_20150317_000384	Свиток, который дала нам Вильгельмина, потрясающий!{nl}Я ничего не слышал даже отсюда.	빌헬미나가 준 그 스크롤 정말 대단한데?{nl}바로 옆에서도 아무 소리도 들리지 않았어.도굴꾼 아만다
QUEST_LV_0200_20150317_000385	Пойдем?	이제 가볼까?도굴꾼 아만다
QUEST_LV_0200_20150317_000386	Я волшебник, который не может использовать магию. Я чувствую себя жалко.	마법사면서 마법을 전혀 쓸 수 없다니 이런 내가 정말 한심해.
QUEST_LV_0200_20150317_000387	Антарес… В свое время он был великим волшебником.	안타레스.. 한땐 정말 위대한 마법사였지.
QUEST_LV_0200_20150317_000388	Солдат арьергарда	후방부대 병사
QUEST_LV_0200_20150317_000389	Мы, арьергард, отвечаем за контроль и охрану линий связи и снабжения.	저희 후방부대는 주요 교통로를 확실히 장악하고 병참선을 방어하는 일을 하고 있습니다.후방부대 병사
QUEST_LV_0200_20150317_000390	Нам нужно вернуть лес, захваченный монстрами.{nl}На этот раз мы не отступим!	몬스터에게 점령당한 숲을 되찾아야 합니다.{nl}이번에야말로 절대 물러날 수 없습니다!후방부대 병사
QUEST_LV_0200_20150317_000391	Если мы отступим, Клайпеда будет полностью изолирована.{nl}	이번에 저희가 물러서게 되면 클라페다는 완전히 고립될 겁니다.{nl}후방부대 병사
QUEST_LV_0200_20150317_000392	Войска на передовой не знают, через какие трудности мы проходим.{nl}Они думают, что они единственные, кто рискует своей жизнью.	우리가 이렇게 고생하는 걸 전방 병사들은 모를 겁니다.{nl}자기들만 목숨을 건다고 생각하지요.후방부대 병사
QUEST_LV_0200_20150317_000393	Было бы хорошо, если бы богиня присылала нам свои благословения в такие моменты…{nl}Честно говоря, мы устали.	이럴 때 여신께서 가호라도 빌어 주신다면 좋으련만..{nl}솔직히 좀 지칩니다.후방부대 병사
QUEST_LV_0200_20150317_000394	Как вы думаете, этой войне будет конец?{nl}Честно говоря, мне страшно.	이 기나긴 전투의 끝은 정말 있는 걸까요?{nl}솔직히 좀 두렵습니다.후방부대 병사
QUEST_LV_0200_20150317_000395	Отряды арьергарда делают все возможное, но ситуация со снабжением остается ужасной.	저희 후방부대도 나름대로 노력하고 있지만, 보급 상황이 매우 좋지 않습니다.후방부대 병사
QUEST_LV_0200_20150317_000396	Хельгасеркл снова атакует?{nl}Если это так, эта битва будет очень долгой…	이번에도 헬가 세르클이 공격한 걸까?{nl}하지만 그러기엔 전투가 너무 긴데..코델리어
QUEST_LV_0200_20150317_000397	Много ли в башне монстров?	아직도 탑에 몬스터가 많나요?수상한 책상
QUEST_LV_0200_20150317_000398	Даже если они превосходят нас численностью, мы не можем позволить им разрушить башню!	아무리 열세라 하더라도 탑을 더럽히도록 놔둘 순 없습니다!오윈
QUEST_LV_0200_20150317_000399	Подозрительная лампа	수상한 램프
QUEST_LV_0200_20150317_000400	Может у меня просто необычная лампа или нет.	나는 그냥 램프일 수도, 아닐 수도 있다.수상한 램프
QUEST_LV_0200_20150317_000401	Недавно монстры стали появляться из глубин леса.{nl}Но наша хроническая нехватка рабочей силы мешает нам принять меры.{nl}	최근 숲의 깊은 곳에서 갑자기 몬스터들이 쏟아져 나오고 있습니다만.{nl}만성적인 병력 부족으로 쉽게 움직일 수 없는 상황입니다.{nl}기사단장 우스카
QUEST_LV_0200_20150317_000402	После долгих споров о том, как разрешить ситуацию, было упомянуто ваше имя.{nl}Они сказали, что вы с радостью выйдете на охоту на монстров.{nl}	이 사태를 해결하기 위한 거듭된 회의 끝에 결국 당신의 이름이 나왔습니다. {nl}당신이라면 몬스터 토벌에 선뜻 나서 줄 것이라고요.{nl}기사단장 우스카
